stadium,attendance,home_team,away_team,home_goals,away_goals,home_expected_goals,home_total_shots,Home_ shots_on_target,home_big_chances,home_big_chances_missed,home_accurate_passes,home_fouls_committed,home_corners,home_total_shots.,home_shots_off_target,home_shots_on_target.,home_blocked_shots,home_hit_woodwork,home_shot_inside_box,home_shot_outside_box,home_expect_goal_openplay,home_expected_goal_setpiece,home_nonpenalty_expected_goal,home_expected_goal_ontarget,home_passes,home_accurate_passes,home_passes_own_half,home_passes_opposition_half,home_accurate_long_ball,home_accurate_crosses,home_throw_in,home _touches_in_opposition_box,home_offsides,home_yellow_cards,home_red_cards,home_tackles_won,home_interceptions,home_block,home_clearances,home_keeper_saves,home_duels_won,home_ground_duels_won,home_ariel_duels_won,home_succesful_dribbles,away_expected_goals,away_total_shots,away_shots_on_target,away_big_chances,away_big_chances_missed,away_accurate_passes,away_fouls_commited,away_corners,away_total_shots,away_shots_off_target,away_shots_on_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_expected_goal_open_play,away_expected_goal_setpiece,away_nonpenalty_expected_goal,away_expected_goal_on_target,away_passes,away_accurate_passes,away_passes_own_half,away_passes_opposition_half,away_accurate_long_balls,Away_accurate_crosses,away_throw_in,away_touches_in_opposition_box,away_offsides,away_yellow_cars,away_red_cars,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_saves,away_duels_won,away_ground_duels_won,away_ariel_duels_won,away_successful_dribbles
Fuball Arena Mnchen,60052,Germany,Scotland,5,1,2.15,20,10,1,0,643,15,5,20,5,10,5,0,10,10,1.09,0.27,1.36,3.33,683,643,227,416,19,5,12,31,4,2,0,9,2,0,16,0,34,25,9,6,0.02,1,0,0,0,189,9,0,1,1,0,0,0,1,0,0,0.02,0.02,0,251,189,139,50,18,1,14,2,0,1,1,8,6,5,22,5,41,34,7,5
Cologne Stadium,41676,Hungary,Switzerland,1,3,1.25,6,2,3,2,643,9,2,6,3,2,1,0,5,1,0.91,0.34,1.25,0.98,438,643,222,143,37,5,20,10,3,2,0,11,5,5,23,4,48,32,16,4,2.33,15,7,3,1,189,13,6,15,3,7,5,0,11,4,2.11,0.21,2.33,2.41,452,189,180,200,21,2,24,32,2,2,0,9,6,1,17,1,41,26,15,5
Olympiastadion Berlin,68844,Spain,Croatia,3,0,2.01,11,5,4,2,365,14,5,11,3,5,3,0,8,3,1.06,0.95,2.01,2.69,457,365,229,154,20,4,14,21,2,1,0,10,5,3,10,5,55,36,19,12,2.38,16,5,3,3,380,13,0,16,8,5,3,0,10,6,1.59,0.2,1.59,2.4,517,380,272,184,21,4,23,27,0,0,0,10,9,3,4,2,47,37,10,10
BVB Stadion Dortmund,60512,Italy,Albania,2,1,1.56,17,5,5,4,365,7,5,17,5,5,7,1,12,5,1.05,0.51,1.56,1.59,809,365,264,483,21,7,17,34,2,2,0,5,15,2,6,0,31,25,6,9,0.5,8,1,2,1,380,7,3,8,5,1,2,0,4,4,0.43,0.08,0.5,0.59,372,380,217,96,17,2,15,7,1,2,0,5,13,6,15,3,26,16,10,2
Volksparkstadion,48117,Poland,Netherlands,1,2,1.32,12,7,2,2,383,10,3,12,4,7,1,0,8,4,0.73,0.6,1.32,1.41,295,383,130,102,12,4,13,17,2,0,0,9,7,3,26,2,39,30,9,7,1.46,21,4,3,2,456,8,6,21,14,4,3,0,14,7,1.34,0.12,1.46,1.15,579,456,230,284,24,6,29,44,0,1,0,11,3,1,21,6,54,38,16,14
Stuttgart Arena,54000,Slovenia,Denmark,1,1,1.1,11,2,2,2,383,12,5,11,7,2,2,1,5,6,0.63,0.47,1.1,0.39,311,383,139,102,30,5,14,12,3,2,0,7,13,5,30,3,35,26,9,3,1.66,16,4,2,1,456,9,9,16,6,4,6,0,12,4,0.62,1.04,1.66,1.97,658,456,271,312,17,9,16,33,1,1,0,2,5,2,17,1,40,19,21,1
Arena AufSchalke,48953,Serbia,England,0,1,0.18,6,1,0,0,747,19,2,6,2,1,3,0,1,5,0.16,0.02,0.18,0.04,504,747,218,220,20,2,19,11,0,2,0,10,5,1,17,2,36,28,8,8,0.52,5,3,2,1,313,8,1,5,1,3,1,1,2,3,0.48,0.05,0.52,1.45,588,313,243,284,30,2,8,12,1,0,0,6,8,3,22,1,50,36,14,8
Fuball Arena Mnchen,61591,Romania,Ukraine,3,0,1.2,9,5,1,0,747,9,4,9,2,5,2,1,3,6,0.31,0.9,1.2,1.58,237,747,75,95,15,1,19,10,1,1,0,3,6,5,31,3,37,27,10,11,0.75,13,2,0,0,313,8,8,13,5,2,6,1,5,8,0.6,0.14,0.75,0.17,591,313,228,288,18,1,13,19,1,1,0,11,5,2,7,2,43,32,11,7
Frankfurt Arena,45181,Belgium,Slovakia,0,1,1.7,16,5,4,4,232,14,5,16,6,5,5,0,10,6,1.52,0.18,1.7,1.02,573,232,308,180,22,4,18,34,2,3,0,7,2,2,15,3,40,32,8,8,0.57,10,4,1,0,514,10,7,10,4,4,2,0,6,4,0.53,0.04,0.57,1.37,367,514,170,113,25,6,19,15,1,1,0,4,9,6,19,5,37,27,10,6
Dsseldorf Arena,46425,Austria,France,0,1,0.76,6,3,2,2,232,18,6,6,2,3,1,0,4,2,0.66,0.1,0.76,1.5,476,232,203,198,14,4,18,19,0,5,0,13,3,5,19,3,48,40,8,4,2.13,14,3,2,2,514,11,2,14,6,3,5,0,12,2,2.01,0.12,2.13,0.39,453,514,231,159,24,2,23,35,1,2,0,7,6,1,31,3,64,45,19,12
BVB Stadion Dortmund,59127,Turkiye,Georgia,3,1,3.01,22,8,5,4,241,10,5,22,7,8,7,1,11,11,2.66,0.35,3.01,3.06,573,241,158,353,13,4,14,24,2,2,0,15,6,4,18,3,47,28,19,3,1.37,14,5,5,4,583,7,5,14,6,5,3,2,11,3,1.31,0.06,1.37,1.13,441,583,224,155,21,6,18,22,1,1,0,16,8,7,27,5,52,39,13,6
Leipzig Stadium,38421,Portugal,Czechia,2,1,1.85,19,8,4,3,241,6,13,19,4,8,7,0,10,9,1.79,0.06,1.85,2.28,704,241,228,390,28,4,17,35,3,2,0,8,4,2,7,0,50,26,24,10,0.43,5,1,0,0,583,9,0,5,2,1,2,0,3,2,0.3,0.12,0.43,0.34,257,583,91,78,12,1,12,8,1,1,0,10,11,7,31,7,40,25,15,4
Volksparkstadion,46784,Croatia,Albania,2,2,2.68,22,10,5,4,438,15,3,22,7,10,5,0,15,7,2.01,0.68,2.68,2.92,634,438,154,418,12,9,14,36,0,1,0,12,14,6,7,5,64,44,20,16,1.46,15,7,4,2,527,11,1,15,2,7,6,0,9,6,1.43,0.03,1.46,2.43,311,527,147,100,29,4,8,19,4,3,0,7,9,6,26,8,36,28,8,3
Stuttgart Arena,54000,Germany,Hungary,2,0,1.4,19,7,3,1,438,12,11,19,5,7,7,0,11,8,1.22,0.17,1.4,3.01,718,438,218,450,22,4,12,36,0,2,0,11,6,4,20,3,42,31,11,4,1.18,11,4,4,4,527,10,7,11,4,4,3,0,7,4,0.64,0.54,1.18,1.16,308,527,177,71,16,1,12,16,1,2,0,6,5,6,31,5,41,29,12,4
Cologne Stadium,42711,Scotland,Switzerland,1,1,0.76,12,3,2,2,170,11,5,12,5,3,4,1,9,3,0.36,0.4,0.76,1.22,374,170,169,118,23,9,24,25,0,3,0,5,2,1,18,3,46,21,25,2,1.13,11,4,2,2,516,11,8,11,6,4,1,0,9,2,0.94,0.19,1.13,0.83,420,516,198,146,29,2,22,17,5,2,0,5,8,3,24,2,38,25,13,5
Fuball Arena Mnchen,63028,Slovenia,Serbia,1,1,1.37,11,4,2,1,170,13,4,11,4,4,3,1,6,5,1.35,0.03,1.37,1.22,346,170,129,140,24,4,17,16,0,2,0,13,6,8,36,3,54,34,20,7,1.64,15,4,3,3,516,8,9,15,3,4,8,1,11,4,1.2,0.44,1.64,1.8,527,516,243,219,25,9,18,24,0,4,0,10,5,3,15,3,57,38,19, 
Frankfurt Arena,46177,Denmark,England,1,1,0.82,16,7,1,1,488,13,4,16,4,7,5,0,6,10,0.38,0.43,0.82,0.79,548,488,237,239,17,5,11,21,4,3,0,12,11,1,11,3,45,26,19,4,0.87,12,4,4,3,283,5,2,12,7,4,1,1,7,5,0.84,0.03,0.87,1.64,528,283,257,198,30,2,18,13,0,1,0,7,7,5,16,6,47,34,13,11
Arena AufSchalke,49528,Spain,Italy,1,0,2.02,20,9,6,6,488,17,5,20,8,9,3,2,11,9,1.81,0.21,2.02,2.1,590,488,226,311,22,5,9,28,0,3,0,8,9,0,11,1,53,44,9,14,0.16,4,1,1,1,283,14,2,4,3,1,0,0,3,1,0.03,0.13,0.16,0.08,440,283,233,131,18,4,12,12,0,2,0,16,9,4,15,8,61,50,11,2
Dsseldorf Arena,43910,Slovakia,Ukraine,1,2,0.86,14,5,2,1,401,9,4,14,4,5,5,0,7,7,0.41,0.45,0.86,2.33,534,401,270,210,15,4,22,17,2,0,0,8,5,5,15,3,37,31,6,10,1.51,13,5,3,1,390,12,4,13,3,5,5,1,9,4,1.08,0.43,1.51,1.76,419,390,243,125,23,3,14,24,5,1,0,11,8,5,19,4,44,33,11,5
Olympiastadion Berlin,69455,Poland,Austria,1,3,1.68,15,3,2,1,401,15,4,15,5,3,7,0,8,7,0.77,0.9,1.68,1.27,390,401,197,114,11,6,26,13,0,4,0,5,6,4,21,6,42,30,12,9,2.13,15,9,3,1,390,15,3,15,2,9,4,0,10,5,1.2,0.14,1.34,2.88,443,390,167,206,14,4,18,24,2,2,0,5,16,7,19,2,43,30,13,5
Leipzig Stadium,38531,Netherlands,France,0,0,0.47,8,4,1,1,511,13,3,8,0,4,4,0,4,4,0.4,0.07,0.47,0.97,398,511,236,116,12,3,12,12,4,1,0,7,3,5,23,3,22,16,6,0,1.43,15,3,2,2,379,8,6,15,7,3,5,0,8,7,1.34,0.09,1.43,1.18,660,379,277,332,19,4,17,20,0,0,0,7,2,3,9,4,38,34,4,9
